episodes:steps:mean_steps(10):rwd:mean_rwd:rwd_sum:rwd_sum-?*step:iter
    250:   247:    130.8: -0.10000:  0.03597:      8.9: -15.81530:     28650
    251:   122:    132.9: -0.10000: -0.03076:     -3.8: -15.95305:     28772
    252:   109:    137.5: -0.10000: -0.01325:     -1.4: -12.34455:     28881
    253:   373:    164.7: -0.10000:  0.06873:     25.6: -11.66234:     29254
    254:   112:    161.5: -0.10000: -0.01247:     -1.4: -12.59645:     29366
    255:   143:    148.3: -0.10000:  0.01745:      2.5: -11.80516:     29509
    256:    97:    147.6: -0.10000:  0.00640:      0.6:  -9.07921:     29606
    257:   247:    162.7: -0.10000:  0.03154:      7.8: -16.90916:     29853
    258:    90:    160.3: -0.10000:  0.01459:      1.3:  -7.68661:     29943
    259:   129:    166.9: -0.10000: -0.00863:     -1.1: -14.01305:     30072
    260:   150:    157.2: -0.10000:  0.00843:      1.3: -13.73563:     30222
    261:   211:    166.1: -0.10000:  0.03914:      8.3: -12.84221:     30433
    262:    77:    162.9: -0.10000:  0.00754:      0.6:  -7.11953:     30510
    263:   100:    135.6: -0.10000:  0.02254:      2.3:  -7.74607:     30610
    264:   134:    137.8: -0.10000:  0.01740:      2.3: -11.06806:     30744
    265:    82:    131.7: -0.10000:  0.01610:      1.3:  -6.87989:     30826
    266:   272:    149.2: -0.10000:  0.00470:      1.3: -25.92086:     31098
    267:    87:    133.2: -0.10000:  0.00583:      0.5:  -8.19278:     31185
    268:    75:    131.7: -0.10000: -0.02187:     -1.6:  -9.14007:     31260
    269:   112:    130.0: -0.10000:  0.00046:      0.1: -11.14830:     31372
    270:    65:    121.5: -0.10000: -0.00815:     -0.5:  -7.02991:     31437
    271:   189:    119.3: -0.10000:  0.03103:      5.9: -13.03543:     31626
    272:    88:    120.4: -0.10000: -0.02934:     -2.6: -11.38234:     31714
    273:    60:    116.4: -0.10000: -0.00444:     -0.3:  -6.26658:     31774
    274:   108:    113.8: -0.10000:  0.00256:      0.3: -10.52339:     31882
    275:    87:    114.3: -0.10000:  0.01876:      1.6:  -7.06776:     31969
    276:    67:     93.8: -0.10000: -0.00928:     -0.6:  -7.32184:     32036
    277:    64:     91.5: -0.10000: -0.00970:     -0.6:  -7.02055:     32100
    278:    63:     90.3: -0.10000: -0.01618:     -1.0:  -7.31964:     32163
    279:    85:     87.6: -0.10000:  0.00082:      0.1:  -8.43032:     32248
    280:    62:     87.3: -0.10000:  0.00457:      0.3:  -5.91688:     32310
    281:    75:     75.9: -0.10000: -0.01718:     -1.3:  -8.78860:     32385
    282:   152:     82.3: -0.10000: -0.02124:     -3.2: -18.42773:     32537
    283:   117:     88.0: -0.10000:  0.01021:      1.2: -10.50557:     32654
    284:    64:     83.6: -0.10000: -0.01886:     -1.2:  -7.60696:     32718
    285:   129:     87.8: -0.10000: -0.03468:     -4.5: -17.37386:     32847
    286:   153:     96.4: -0.10000:  0.01883:      2.9: -12.41946:     33000
    287:    70:     97.0: -0.10000: -0.02494:     -1.7:  -8.74608:     33070
    288:    65:     97.2: -0.10000:  0.00292:      0.2:  -6.31027:     33135
    289:   136:    102.3: -0.10000: -0.01219:     -1.7: -15.25729:     33271
    290:    72:    103.3: -0.10000:  0.00321:      0.2:  -6.96873:     33343
    291:    93:    105.1: -0.10000:  0.00968:      0.9:  -8.40008:     33436
    292:    62:     96.1: -0.10000:  0.01627:      1.0:  -5.19145:     33498
    293:    83:     92.7: -0.10000:  0.02593:      2.2:  -6.14797:     33581
    294:   115:     97.8: -0.10000:  0.02684:      3.1:  -8.41309:     33696
    295:    84:     93.3: -0.10000:  0.03455:      2.9:  -5.49755:     33780
    296:    71:     85.1: -0.10000: -0.01328:     -0.9:  -8.04283:     33851
    297:   130:     91.1: -0.10000: -0.00007:     -0.0: -13.00882:     33981
    298:    70:     91.6: -0.10000: -0.07367:     -5.2: -12.15721:     34051
    299:   213:     99.3: -0.10000: -0.05044:    -10.7: -32.04472:     34264
    300:    90:    101.1: -0.10000:  0.00918:      0.8:  -8.17417:     34354
    301:   109:    102.7: -0.10000: -0.00318:     -0.3: -11.24692:     34463
    302:   121:    108.6: -0.10000: -0.01332:     -1.6: -13.71164:     34584
    303:   105:    110.8: -0.10000:  0.01301:      1.4:  -9.13437:     34689
    304:    57:    105.0: -0.10000:  0.00550:      0.3:  -5.38665:     34746
    305:    61:    102.7: -0.10000:  0.01981:      1.2:  -4.89136:     34807
    306:   150:    110.6: -0.10000: -0.01955:     -2.9: -17.93231:     34957
    307:    60:    103.6: -0.10000: -0.01707:     -1.0:  -7.02437:     35017
    308:    79:    104.5: -0.10000:  0.00469:      0.4:  -7.52936:     35096
    309:    89:     92.1: -0.10000:  0.02985:      2.7:  -6.24346:     35185
    310:   187:    101.8: -0.10000:  0.00344:      0.6: -18.05722:     35372
    311:    65:     97.4: -0.10000:  0.00279:      0.2:  -6.31896:     35437
    312:   139:     99.2: -0.10000:  0.00605:      0.8: -13.05907:     35576
    313:    91:     97.8: -0.10000: -0.03640:     -3.3: -12.41230:     35667
    314:   109:    103.0: -0.10000:  0.02565:      2.8:  -8.10464:     35776
    315:   220:    118.9: -0.10000:  0.00980:      2.2: -19.84303:     35996
    316:    91:    113.0: -0.10000:  0.01726:      1.6:  -7.52899:     36087
    317:    63:    113.3: -0.10000: -0.00031:     -0.0:  -6.31940:     36150
    318:    98:    115.2: -0.10000:  0.00646:      0.6:  -9.16651:     36248
    319:   117:    118.0: -0.10000: -0.00854:     -1.0: -12.69920:     36365
    320:   140:    113.3: -0.10000: -0.02059:     -2.9: -16.88239:     36505
    321:   104:    117.2: -0.10000:  0.00443:      0.5:  -9.93953:     36609
    322:   142:    117.5: -0.10000: -0.00599:     -0.9: -15.05005:     36751
    323:    84:    116.8: -0.10000:  0.02415:      2.0:  -6.37111:     36835
    324:    97:    115.6: -0.10000: -0.00472:     -0.5: -10.15786:     36932
    325:    90:    102.6: -0.10000: -0.04889:     -4.4: -13.40038:     37022
    326:   117:    105.2: -0.10000:  0.00899:      1.1: -10.64817:     37139
    327:    72:    106.1: -0.10000: -0.03591:     -2.6:  -9.78561:     37211
    328:    93:    105.6: -0.10000: -0.00718:     -0.7:  -9.96796:     37304
    329:    96:    103.5: -0.10000:  0.03079:      3.0:  -6.64444:     37400
    330:   186:    108.1: -0.10000:  0.04679:      8.7:  -9.89749:     37586
    331:   117:    109.4: -0.10000: -0.00583:     -0.7: -12.38268:     37703
    332:   192:    114.4: -0.10000:  0.01953:      3.7: -15.45062:     37895
    333:    88:    114.8: -0.10000:  0.01483:      1.3:  -7.49469:     37983
    334:   132:    118.3: -0.10000: -0.08055:    -10.6: -23.83206:     38115
    335:    82:    117.5: -0.10000:  0.01644:      1.3:  -6.85230:     38197
    336:   121:    117.9: -0.10000: -0.00826:     -1.0: -13.09946:     38318
    337:    53:    116.0: -0.10000: -0.00364:     -0.2:  -5.49289:     38371
    338:   107:    117.4: -0.10000: -0.01188:     -1.3: -11.97067:     38478
    339:   115:    119.3: -0.10000: -0.01523:     -1.8: -13.25201:     38593
    340:   150:    115.7: -0.10000:  0.00445:      0.7: -14.33267:     38743
    341:   134:    117.4: -0.10000: -0.03273:     -4.4: -17.78631:     38877
    342:    84:    106.6: -0.10000:  0.02192:      1.8:  -6.55895:     38961
    343:   208:    118.6: -0.10000: -0.02244:     -4.7: -25.46651:     39169
    344:   177:    123.1: -0.10000:  0.01249:      2.2: -15.48959:     39346
    345:    86:    123.5: -0.10000:  0.03457:      3.0:  -5.62723:     39432
    346:   134:    124.8: -0.10000:  0.02986:      4.0:  -9.39822:     39566
    347:    88:    128.3: -0.10000: -0.04930:     -4.3: -13.13807:     39654
    348:    92:    126.8: -0.10000:  0.03269:      3.0:  -6.19270:     39746
    349:    68:    122.1: -0.10000: -0.00783:     -0.5:  -7.33245:     39814
    350:    62:    113.3: -0.10000: -0.01408:     -0.9:  -7.07267:     39876
    351:   138:    113.7: -0.10000:  0.00068:      0.1: -13.70618:     40014
    352:    80:    113.3: -0.10000:  0.00342:      0.3:  -7.72667:     40094
